id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3
146034876,2369,RoG,rostral gyrus,B8A26D,12113.0,/10153/10154/10155/10156/10609/12112/12113/146034876/,True,17123.0,True,17123.0,2140.375,2.140375
13229,2372,LOG,lateral olfactory gyrus,AA9DC6,12113.0,/10153/10154/10155/10156/10609/12112/12113/13229/,True,1861.0,True,1861.0,232.625,0.232625
146034884,2373,FMG,frontomarginal gyrus,EECF38,12113.0,/10153/10154/10155/10156/10609/12112/12113/146034884/,True,31962.0,True,31962.0,3995.25,3.99525
146034888,2374,FP,frontal pole,EAD180,12113.0,/10153/10154/10155/10156/10609/12112/12113/146034888/,True,47084.0,True,47084.0,5885.5,5.8855
12132,2376,PoCG,postcentral gyrus,EC813B,12131.0,/10153/10154/10155/10156/10609/12112/12131/12132/,True,146897.0,True,146897.0,18362.125,18.362125
12133,2377,SPL,supraparietal lobule,E49C33,12131.0,/10153/10154/10155/10156/10609/12112/12131/12133/,True,143194.0,True,143194.0,17899.25,17.899250000000002
12135,2379,SMG,supramarginal gyrus,D38E32,12134.0,/10153/10154/10155/10156/10609/12112/12131/12134/12135/,True,136260.0,True,136260.0,17032.5,17.0325
12136,2380,AnG,angular gyrus,D38E32,12134.0,/10153/10154/10155/10156/10609/12112/12131/12134/12136/,True,145906.0,True,145906.0,18238.25,18.23825
12137,2381,PrCun,precuneus,E49C33,12131.0,/10153/10154/10155/10156/10609/12112/12131/12137/,True,157220.0,True,157220.0,19652.5,19.6525
12138,2382,PCLc,"paracentral lobule, caudal part",E49C33,12131.0,/10153/10154/10155/10156/10609/12112/12131/12138/,True,22378.0,True,22378.0,2797.25,2.79725
13230,2383,PaO,parietal operculum,E8AF66,12131.0,/10153/10154/10155/10156/10609/12112/12131/13230/,True,43319.0,True,43319.0,5414.875,5.414875
12140,2385,STG,superior temporal gyrus,D670A0,12139.0,/10153/10154/10155/10156/10609/12112/12139/12140/,True,113003.0,True,113003.0,14125.375,14.125375
12141,2386,MTG,middle temporal gyrus,D55C92,12139.0,/10153/10154/10155/10156/10609/12112/12139/12141/,True,207704.0,True,207704.0,25963.0,25.963
12142,2387,ITG,inferior temporal gyrus,D55C92,12139.0,/10153/10154/10155/10156/10609/12112/12139/12142/,True,131387.0,True,131387.0,16423.375,16.423375
12143,2388,FuGt,"occipitotemporal (fusiform) gyrus, temporal part",D55C92,12139.0,/10153/10154/10155/10156/10609/12112/12139/12143/,True,77289.0,True,141789.0,17723.625,17.723625000000002
146034892,2389,PRG,perirhinal gyrus ( rostral part of FuGt),D55C92,12143.0,/10153/10154/10155/10156/10609/12112/12139/12143/146034892/,True,64500.0,True,64500.0,8062.5,8.0625
12144,2390,TTG,transverse temporal gyrus (Heschl's gyrus),D670A0,12139.0,/10153/10154/10155/10156/10609/12112/12139/12144/,True,21597.0,True,21597.0,2699.625,2.699625
12145,2393,PLT,planum temporale,D670A0,12139.0,/10153/10154/10155/10156/10609/12112/12139/12145/,True,24183.0,True,24183.0,3022.875,3.022875
12146,2394,TP,temporal pole,C8538B,12139.0,/10153/10154/10155/10156/10609/12112/12139/12146/,True,41800.0,True,41800.0,5225.0,5.2250000000000005
12147,2396,PLP,planum polare,D670A0,12139.0,/10153/10154/10155/10156/10609/12112/12139/12147/,True,29378.0,True,29378.0,3672.25,3.67225
12149,2398,OP,occipital pole,C13331,12148.0,/10153/10154/10155/10156/10609/12112/12148/12149/,True,23534.0,True,23534.0,2941.75,2.94175
12150,2401,Cun,cuneus,C13331,12148.0,/10153/10154/10155/10156/10609/12112/12148/12150/,True,85818.0,True,85818.0,10727.25,10.72725
12151,2402,LiG,lingual gyrus,C13331,12148.0,/10153/10154/10155/10156/10609/12112/12148/12151/,True,132478.0,True,132478.0,16559.75,16.55975
12152,2403,FuGo,"occipitotemporal (fusiform) gyrus, occipital part",D14D46,12148.0,/10153/10154/10155/10156/10609/12112/12148/12152/,True,23812.0,True,23812.0,2976.5,2.9765
12153,2404,IOG,inferior occipital gyrus,D14D46,12148.0,/10153/10154/10155/10156/10609/12112/12148/12153/,True,109765.0,True,109765.0,13720.625,13.720625
